"brand","detail_link","id","image","name","price","quantity_rating","rating"
"NUDESTIX","https://www.sephora.com/product/nudescreen-lip-primer-spf-30-natural-P504874?skuId=2647691","P504874","https://www.sephora.com/productimages/sku/s2647691-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Nudescreen SPF 30 Lip Balm","$20.00","237","3.83"
"NUDESTIX","https://www.sephora.com/product/nude-gloss-balm-founder-set-P440074?skuId=2175016","P440074","https://www.sephora.com/productimages/sku/s2175016-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Mini Nude Natural Lips Kit","$35.00","39","3.85"
"Sarah Creal","https://www.sephora.com/product/sarah-creal-lip-grip-peptide-priming-treatment-P513265?skuId=2823730","P513265","https://www.sephora.com/productimages/sku/s2823730-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Lip Grip Peptide Priming Treatment","$36.00","24","4.21"
"PAT McGRATH LABS","https://www.sephora.com/product/pat-mcgrath-labs-mattetrance-lipstick-divine-rose-collection-P458775?skuId=2458743","P458775","https://www.sephora.com/productimages/sku/s2458743-main-zoom.jpg?imwidth=270","MatteTrance™ Lipstick - Divine Rose Collection","$39.00","28","4.00"
"Laura Mercier","https://www.sephora.com/product/lip-glace-P109906?skuId=2551588","P109906","https://www.sephora.com/productimages/sku/s2551588-main-zoom.jpg?imwidth=270","Lip Glacé Lip Gloss","$32.00","638","4.54"
"Danessa Myricks Beauty","https://www.sephora.com/product/groundwork-palette-defining-neutrals-P506900?skuId=2654077","P506900","https://www.sephora.com/productimages/sku/s2654077-main-zoom.jpg?imwidth=270","Groundwork: Defining Neutrals - Palette For Eyes, Brows, Face & Lips","$65.00","946","4.55"
"NUDESTIX","https://www.sephora.com/product/magnetic-matte-lip-color-P416774?skuId=1897354","P416774","https://www.sephora.com/productimages/sku/s1897354-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Magnetic Matte Lip Pencil","$26.00 - $27.00","373","3.71"
"TOM FORD","https://www.sephora.com/product/lip-color-matte-lipstick-P416222?skuId=2358513","P416222","https://www.sephora.com/productimages/sku/s2358513-main-zoom.jpg?imwidth=270","Lip Color Matte Lipstick","$62.00","1144","4.59"
"Ami Colé","https://www.sephora.com/product/ami-cole-flush-hour-cheek-blush-lip-oil-set-P510722?skuId=2778355","P510722","https://www.sephora.com/productimages/sku/s2778355-main-zoom.jpg?imwidth=270&pb=clean-at-sephora","Flush Hour Cream Blush & Lip Oil Set","$35.00","6","2.50"
"MARA","https://www.sephora.com/product/mara-beauty-sea-silk-lip-balm-P504134?skuId=2633105","P504134","https://www.sephora.com/productimages/sku/s2633105-main-zoom.jpg?imwidth=270&pb=clean-planet-aware","Sea Silk Lip Balm","$26.00","223","4.35"
